% Model:              countersunk_magnets.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 10 2026, 14:21
% Dimension:          3
% Nodes:              98
% Expressions:        4
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component, Magnetic flux density norm
% Length unit:        mm
% x                       y                        z                        mfnc.Bx (T) @ ramp=1     mfnc.By (T) @ ramp=1     mfnc.Bz (T) @ ramp=1     mfnc.normB (T) @ ramp=1
15                        -4.2785530742720965      0                        0.0021731851239840576    4.970731270682947E-4     1.0054732617930102       1.005667001561835
15                        -6.180240717150866       0                        -0.006461400218755976    7.007744645302868E-4     1.006107523742417        1.0065918402345093
15                        -1.0138170887560705      0                        0.004049041821715453     -0.0012079945769733124   1.006848275751456        1.0070789982159631
15                        -0.9362540817269576      0                        0.005194064071378781     -0.001429315072146187    1.0075093467340595       1.0077859538316392
15                        -0.7020328751078182      0                        0.00700350062913979      5.722085443330847E-5     1.0077770679051095       1.0081321832295407
15                        -20.693114224672122      0                        0.022943716006721418     0.02445755677058177      0.9921554647155267       1.00510964545427
15                        -7.270440198098413       0                        -0.009399580520389543    -0.007843601755618584    1.0074339681390825       1.0083250929201921
15                        -20.122691731198117      0                        -0.006823408012743171    -0.03421285778319251     0.9635888181116131       0.9648685907330968
15                        -20.06198972747471       0                        -0.007714601313718886    -0.00894085608998844     0.9567036688659489       0.9570087614134061
15                        -7.562949843216487       0                        -0.0022874519042953402   -0.012075055713727561    1.0087965754406694       1.0093599674876181
15                        -9.673569031244014       0                        0.004218930813794283     -1.1969920713664846E-4   1.001782375588594        1.0021512141807047
15                        -7.948330574599197       0                        0.003528306900522915     -0.002285085742259342    1.0044701521494463       1.0048373428062187
15                        -18.64918723990131       0                        -0.006494092931822199    -0.008783403397684443    0.9663214354180218       0.9665661028140353
15                        -14.361277462351737      0                        -0.010929514338831006    0.0034313134577325516    0.9950552601634615       0.9955628763935245
15                        -19.429463221881875      0                        -0.0050032210463345946   -0.010991234032207309    0.9613254272098917       0.9615274539275875
15                        -13.180488583865682      0                        -0.007152932103683499    0.004619744568815135     0.9969779475093846       0.9974697228191028
15                        -12.94079172479222       0                        -0.0028271856141169173   0.0023722913132979088    0.9926792372981629       0.9931765959149497
15                        -10.753979313338263      0                        0.0030168505170618436    0.002497158362607564     1.000607460976469        1.0010164968773063
15                        -35.28154142635668       0                        -0.008062809079306597    -0.007610011804935011    -0.08236917232076399     0.08442400404006015
15                        -35.20273828302926       0                        -0.009095913812842624    -0.01373096811930399     -0.08321940010930595     0.08670287525063447
15                        -34.248750278938054      0                        0.007820830353122853     -0.04602622672432736     -0.09372219335832999     0.1087008551142194
15                        -34.153464976619574      0                        0.02053467302586547      -0.06900234378872129     -0.10665769088214584     0.13686722765852527
15                        -33.31699786036108       0                        0.010584359463640183     -0.03361846821653737     -0.08842805642291923     0.17253148805460844
15                        -57.43286722770563       0                        -5.6175285342906635E-5   -8.076824728916175E-5    -0.05501454010951684     0.055626476036765175
15                        -55.67526404375313       0                        -1.728006329889958E-4    -1.4279884682110475E-4   -0.058172196946021104    0.059025086687199246
15                        -62.41212169523247       0                        -7.534433162786566E-5    -3.270770861551921E-4    -0.04623397012792748     0.04652184850047037
15                        -63.96957159325791       0                        -2.3264586065783444E-4   -1.2461175017132567E-4   -0.04403359838630172     0.04409312269382762
15                        -47.245889536780545      0                        -8.148258359686177E-5    2.0317012500366684E-5    -0.07526214790505541     0.07577963506506305
15                        -45.96028955202526       0                        1.432937442427926E-4     6.559743310115085E-4     -0.07681247858316695     0.07714175578096882
15                        -47.57772763270025       0                        -1.6310692221684878E-4   6.57030519344078E-5      -0.07459262501698859     0.07510719483867678
15                        -38.24890621901681       0                        -0.0027422563659737086   0.0011591117816751304    -0.08225154988080396     0.08251111529034523
15                        -38.07550711858033       0                        -0.006592732942808355    -5.581742554305511E-4    -0.08099532507123869     0.08145850431707209
15                        -42.52266310394606       0                        2.920257964779478E-5     0.0011401186203076762    -0.08516652345029506     0.08522773374772571
15                        -74.72980517170666       0                        -2.2847574754778076E-5   -4.361855966819555E-4    -0.03199450342499274     0.03209852875674482
15                        -43.75891317358597       0                        -1.3081819167726346E-4   -0.0014538056719881182   -0.08059165779277982     0.08098489152695358
15                        2.807393210707829        0                        0.0047055965441681735    0.0021257294212392577    1.0060394858168857       1.0066640876143595
15                        2.854860855977563        0                        0.005388623079282477     8.976136665579136E-4     1.0049421414551942       1.0055856694608913
15                        5.0329105950523285       0                        7.463601823348666E-4     -0.006389572277195833    1.0061775994849667       1.0068411055234192
15                        6.18174355433689         0                        6.724154582436991E-4     -0.004981730081611127    1.0045824559114473       1.005382021548974
15                        8.569655577992023        0                        0.0021048650853079057    0.006722841134977182     1.0065744425621406       1.0073086200188437
15                        9.477946397138922        0                        0.004328326718689091     0.00612264108375391      1.006555203369203        1.0072119341235546
15                        11.886744921500167       0                        -0.002139980966980046    9.265281045588553E-4     0.9981904596584945       0.9984065476762867
15                        12.2173664397545         0                        -0.0023396989241675327   -0.0010889662411552876   0.9976879566495945       0.9979143038293006
